Kode,Nama,Kategori,Stok,Harga,Kadaluarsa,Deskripsi
OBT001,Amloil 250mg,Antikonvulsan,334,81041,2025-12-21,Obat antikonvulsan untuk penggunaan medis
OBT002,Atoran 10mg,Antikonvulsan,390,60440,2026-11-01,Obat antikonvulsan untuk penggunaan medis
OBT003,Simax 250mg,Antibiotik,85,16641,2025-10-08,Obat antibiotik untuk penggunaan medis
OBT004,Amoxin 500mg,Kardiovaskular,65,44739,2025-07-17,Obat kardiovaskular untuk penggunaan medis
OBT005,Cefien 25mg,Analgesik,298,56260,2026-01-20,Obat analgesik untuk penggunaan medis
OBT006,Amoxex 100mg,Antikonvulsan,126,76856,2026-07-16,Obat antikonvulsan untuk penggunaan medis
OBT007,Dicloan 5mg,Antihistamin,254,89672,2025-05-18,Obat antihistamin untuk penggunaan medis
OBT008,Metil 1000mg,Kardiovaskular,259,49025,2025-06-17,Obat kardiovaskular untuk penggunaan medis
OBT009,Atorex 250mg,Antibiotik,469,20306,2026-03-21,Obat antibiotik untuk penggunaan medis
OBT010,Simex 1000mg,Analgesik,468,91112,2026-10-05,Obat analgesik untuk penggunaan medis
OBT011,Dicloan 1000mg,Psikotropika,416,67990,2025-11-23,Obat psikotropika untuk penggunaan medis
OBT012,Amlool 50mg,Antidiabetes,132,19157,2025-06-20,Obat antidiabetes untuk penggunaan medis
OBT013,Captil 500mg,Vitamin,307,88683,2026-02-18,Obat vitamin untuk penggunaan medis
OBT014,Ranitat 250mg,Analgesik,469,38851,2026-10-27,Obat analgesik untuk penggunaan medis
OBT015,Atorat 20mg,Antihistamin,101,39423,2025-04-30,Obat antihistamin untuk penggunaan medis
OBT016,Paraax 500mg,Analgesik,139,33735,2025-03-23,Obat analgesik untuk penggunaan medis
OBT017,Omepol 500mg,Antidepresan,88,29489,2026-07-29,Obat antidepresan untuk penggunaan medis
OBT018,Ibuen 1000mg,Antidepresan,404,9258,2025-07-15,Obat antidepresan untuk penggunaan medis
OBT019,Cefien 250mg,Kortikosteroid,199,69345,2025-06-20,Obat kortikosteroid untuk penggunaan medis
OBT020,Losen 20mg,Kortikosteroid,200,61093,2025-07-30,Obat kortikosteroid untuk penggunaan medis
OBT021,Captil 250mg,Psikotropika,212,26445,2026-05-22,Obat psikotropika untuk penggunaan medis
OBT022,Ranitan 1000mg,Antikonvulsan,407,12616,2026-05-09,Obat antikonvulsan untuk penggunaan medis
OBT023,Ibuex 5mg,Analgesik,71,98048,2026-07-31,Obat analgesik untuk penggunaan medis
OBT024,Metum 50mg,Vitamin,363,17841,2026-06-29,Obat vitamin untuk penggunaan medis
OBT025,Simox 25mg,Antikonvulsan,463,93440,2026-04-01,Obat antikonvulsan untuk penggunaan medis
OBT026,Amlool 20mg,Antasida,373,51447,2025-03-10,Obat antasida untuk penggunaan medis
OBT027,Ranitox 10mg,Kortikosteroid,99,30815,2025-05-04,Obat kortikosteroid untuk penggunaan medis
OBT028,Losan 25mg,Antikonvulsan,500,78918,2026-05-27,Obat antikonvulsan untuk penggunaan medis
OBT029,Amloum 5mg,Kardiovaskular,407,83608,2026-04-22,Obat kardiovaskular untuk penggunaan medis
OBT030,Captum 250mg,Antidiabetes,147,20531,2025-02-02,Obat antidiabetes untuk penggunaan medis
OBT031,Dicloox 500mg,Antidepresan,402,18638,2026-05-09,Obat antidepresan untuk penggunaan medis
OBT032,Dicloan 250mg,Vitamin,185,29909,2025-07-04,Obat vitamin untuk penggunaan medis
